Date,Born,Died
15-06-2020,766,1625
16-06-2020,950,1549
17-06-2020,927,1496
18-06-2020,912,1508
19-06-2020,869,1497
20-06-2020,651,1457
21-06-2020,581,1554
22-06-2020,823,1597
23-06-2020,1011,1479
24-06-2020,923,1412
25-06-2020,990,1337
26-06-2020,973,1370
27-06-2020,676,1507
28-06-2020,665,1609
29-06-2020,673,1549
30-06-2020,877,1481
01-07-2020,1006,1589
02-07-2020,1024,1473
03-07-2020,1063,1441
04-07-2020,693,1606
05-07-2020,651,1610
06-07-2020,869,1665
07-07-2020,1042,1600
08-07-2020,946,1486
09-07-2020,949,1339
10-07-2020,1024,1351
11-07-2020,704,1425
12-07-2020,652,1336
13-07-2020,835,1442
14-07-2020,965,1383
15-07-2020,1001,1365
16-07-2020,1008,1461
17-07-2020,974,1414
18-07-2020,702,1454
19-07-2020,629,1476
20-07-2020,886,1427
21-07-2020,1028,1385
22-07-2020,936,1378
23-07-2020,1008,1382
24-07-2020,1011,1396
25-07-2020,724,1431
26-07-2020,652,1469
27-07-2020,876,1502
28-07-2020,994,1494
29-07-2020,913,1527
30-07-2020,953,1468
31-07-2020,957,1392
01-08-2020,656,1516
02-08-2020,625,1416
03-08-2020,857,1458
04-08-2020,999,1408
05-08-2020,997,1424
06-08-2020,930,1442
07-08-2020,1032,1634
08-08-2020,769,1525
09-08-2020,661,1517
10-08-2020,856,1557
11-08-2020,969,1467
12-08-2020,954,1405
13-08-2020,859,1296
14-08-2020,1008,1380
15-08-2020,644,1367
16-08-2020,570,1449
17-08-2020,829,1505
18-08-2020,1034,1476
19-08-2020,883,1583
20-08-2020,1035,1536
21-08-2020,1037,1508
22-08-2020,762,1527
23-08-2020,618,1447
24-08-2020,722,1565
25-08-2020,918,1494
26-08-2020,967,1451
27-08-2020,1003,1415
28-08-2020,894,1475
29-08-2020,655,1414
30-08-2020,629,1600
31-08-2020,831,1457
01-09-2020,886,1683
02-09-2020,870,1630
03-09-2020,909,1589
04-09-2020,887,1467
05-09-2020,683,1477
06-09-2020,609,1444
07-09-2020,824,1502
08-09-2020,970,1437
09-09-2020,931,1468
10-09-2020,1026,1478
11-09-2020,811,1463
12-09-2020,715,1456
13-09-2020,586,1572
14-09-2020,937,1594
15-09-2020,1018,1538
16-09-2020,957,1523
17-09-2020,1039,1525
18-09-2020,1029,1452
19-09-2020,725,1516
20-09-2020,672,1495
21-09-2020,933,1618
22-09-2020,1109,1617
23-09-2020,987,1656
24-09-2020,983,1690
25-09-2020,1056,1691
26-09-2020,800,1719
27-09-2020,726,1726
28-09-2020,921,1700
29-09-2020,1031,1774
30-09-2020,987,1625
01-10-2020,1079,1924
02-10-2020,985,1777
03-10-2020,733,1815
04-10-2020,621,1728
05-10-2020,918,1885
06-10-2020,1019,1822
07-10-2020,967,1796
08-10-2020,956,1873
09-10-2020,959,1939
10-10-2020,715,1874
11-10-2020,595,1843
12-10-2020,843,1894
13-10-2020,925,1882
14-10-2020,720,1922
15-10-2020,980,1910
16-10-2020,1046,1943
17-10-2020,641,2031
18-10-2020,613,1990
19-10-2020,763,2062
20-10-2020,939,2047
21-10-2020,900,2038
22-10-2020,880,2085
23-10-2020,908,2103
24-10-2020,599,2161
25-10-2020,572,2220
26-10-2020,734,2233
27-10-2020,934,2176
28-10-2020,851,2125
29-10-2020,830,2143
30-10-2020,898,2130
31-10-2020,612,2089
01-11-2020,551,2183
02-11-2020,755,2224
03-11-2020,874,2109
04-11-2020,843,2163
05-11-2020,916,2112
06-11-2020,849,2154
07-11-2020,601,2145
08-11-2020,604,2233
09-11-2020,690,2088
10-11-2020,906,2214
11-11-2020,900,2131
12-11-2020,864,2160
13-11-2020,732,2191
14-11-2020,601,2152
15-11-2020,591,2182
16-11-2020,761,2319
17-11-2020,924,2294
18-11-2020,763,2162
19-11-2020,905,2184
20-11-2020,883,2197
21-11-2020,592,2322
22-11-2020,561,2074
23-11-2020,761,2281
24-11-2020,902,2184
25-11-2020,835,2223
26-11-2020,801,2124
27-11-2020,883,2170
28-11-2020,584,2133
29-11-2020,524,2019
30-11-2020,765,2134
01-12-2020,894,2303
02-12-2020,814,2119
03-12-2020,839,2112
04-12-2020,787,2092
05-12-2020,581,2218
06-12-2020,579,2069
07-12-2020,741,2290
08-12-2020,849,2174
09-12-2020,783,2257
10-12-2020,840,2215
11-12-2020,788,2208
12-12-2020,603,2104
13-12-2020,518,2210
14-12-2020,740,2233
15-12-2020,852,2206
16-12-2020,735,2085
17-12-2020,780,2120
18-12-2020,801,2024
19-12-2020,550,2060
20-12-2020,510,2107
21-12-2020,732,2086
22-12-2020,892,2041
23-12-2020,856,2055
24-12-2020,908,2029
25-12-2020,628,2085
26-12-2020,579,2059
27-12-2020,511,2058
28-12-2020,845,2118
29-12-2020,811,1935
30-12-2020,817,1948
31-12-2020,632,1931
01-01-2021,533,2211
02-01-2021,592,2047
03-01-2021,601,1903
04-01-2021,785,2112
05-01-2021,1010,1962
06-01-2021,883,1942
07-01-2021,536,1840
08-01-2021,730,1949
09-01-2021,623,1876
10-01-2021,575,1864
11-01-2021,859,1958
12-01-2021,893,1856
13-01-2021,869,1880
14-01-2021,792,1883
15-01-2021,940,1840
16-01-2021,679,1863
17-01-2021,588,1888
18-01-2021,734,1983
19-01-2021,808,1962
20-01-2021,820,2064
21-01-2021,890,2074
22-01-2021,840,1998
23-01-2021,612,1997
24-01-2021,503,2002
25-01-2021,755,2071
26-01-2021,870,1940
27-01-2021,834,1848
28-01-2021,821,1835
29-01-2021,905,1769
30-01-2021,575,1797
31-01-2021,555,1687
01-02-2021,752,1934
02-02-2021,853,1720
03-02-2021,840,1770
04-02-2021,861,1826
05-02-2021,828,1718
06-02-2021,586,1727
07-02-2021,530,1820
08-02-2021,760,1796
09-02-2021,846,1731
10-02-2021,877,1831
11-02-2021,823,1817
12-02-2021,855,1808
13-02-2021,589,1739
14-02-2021,572,1826
15-02-2021,747,1953
16-02-2021,842,1917
17-02-2021,833,1736
18-02-2021,843,1815
19-02-2021,880,1889
20-02-2021,567,1827
21-02-2021,502,1764
22-02-2021,779,1923
23-02-2021,883,1862
24-02-2021,870,1819
25-02-2021,837,1900
26-02-2021,886,1826
27-02-2021,608,1852
28-02-2021,542,1822
01-03-2021,790,1995
02-03-2021,872,1870
03-03-2021,935,1820
04-03-2021,886,1808
05-03-2021,881,1841
06-03-2021,579,1829
07-03-2021,562,1852
08-03-2021,533,1896
09-03-2021,778,1982
10-03-2021,949,1869
11-03-2021,827,1950
12-03-2021,888,2004
13-03-2021,558,1982
14-03-2021,574,2065
15-03-2021,748,2038
16-03-2021,862,2060
17-03-2021,795,2042
18-03-2021,768,1994
19-03-2021,832,2059
20-03-2021,557,1973
21-03-2021,847,2202
22-03-2021,823,2175
23-03-2021,828,2191
24-03-2021,577,2098
25-03-2021,534,2095
26-03-2021,763,2139
27-03-2021,896,2002
28-03-2021,876,2115
29-03-2021,883,2097
30-03-2021,772,2035
31-03-2021,742,2172
01-04-2021,742,2490
02-04-2021,822,2392
03-04-2021,500,2378
04-04-2021,517,2214
05-04-2021,703,2432
06-04-2021,825,2382
07-04-2021,710,2428
08-04-2021,810,2255
09-04-2021,841,2259
10-04-2021,556,2249
11-04-2021,518,2339
12-04-2021,747,2389
13-04-2021,773,2393
14-04-2021,779,2239
15-04-2021,821,2256
16-04-2021,816,2205
17-04-2021,552,2149
18-04-2021,508,2221
19-04-2021,748,2234
20-04-2021,837,2215
21-04-2021,847,2202
22-04-2021,823,2175
23-04-2021,828,2191
24-04-2021,577,2098
25-04-2021,534,2095
26-04-2021,763,2139
27-04-2021,896,2002
28-04-2021,876,2115
29-04-2021,883,2097
30-04-2021,772,2035
01-05-2021,561,2202
02-05-2021,502,2155
03-05-2021,532,2205
04-05-2021,566,1958
05-05-2021,852,2078
06-05-2021,960,1992
07-05-2021,989,1957
08-05-2021,580,1983
09-05-2021,497,1853
10-05-2021,525,1903
11-05-2021,727,2014
12-05-2021,929,1951
13-05-2021,779,1845
14-05-2021,894,1905
15-05-2021,570,1897
16-05-2021,516,2001
17-05-2021,742,1952
18-05-2021,873,1822
19-05-2021,839,1780
20-05-2021,840,1728
21-05-2021,838,1750
22-05-2021,572,1657
23-05-2021,534,1834
24-05-2021,711,1713
25-05-2021,834,1723
26-05-2021,811,1705
27-05-2021,794,1702
28-05-2021,808,1748
29-05-2021,603,1600
30-05-2021,512,1579
31-05-2021,729,1553
01-06-2021,876,1655
02-06-2021,758,1495
03-06-2021,822,1550
04-06-2021,788,1565
05-06-2021,571,1528
06-06-2021,491,1569
07-06-2021,709,1658
08-06-2021,860,1617
09-06-2021,819,1564
10-06-2021,752,1558
11-06-2021,909,1462
12-06-2021,530,1506
13-06-2021,533,1460
14-06-2021,740,1495
15-06-2021,879,1507
16-06-2021,839,1552
17-06-2021,906,1539
18-06-2021,845,1525
19-06-2021,607,1546
20-06-2021,545,1534
21-06-2021,559,1638
22-06-2021,824,1752
23-06-2021,900,1712
24-06-2021,953,1721
25-06-2021,1013,1826
26-06-2021,643,1820
27-06-2021,580,1592
28-06-2021,530,1451
29-06-2021,839,1459
30-06-2021,851,1427
01-07-2021,876,1546
02-07-2021,871,1365
03-07-2021,596,1396
04-07-2021,508,1371
05-07-2021,763,1400
06-07-2021,890,1344
07-07-2021,846,1355
08-07-2021,921,1352
09-07-2021,852,1390
10-07-2021,598,1405
11-07-2021,554,1503
12-07-2021,762,1506
13-07-2021,852,1467
14-07-2021,873,1425
15-07-2021,879,1521
16-07-2021,847,1517
17-07-2021,593,1603
18-07-2021,550,1656
19-07-2021,743,1695
20-07-2021,860,1657
21-07-2021,849,1492
22-07-2021,842,1355
23-07-2021,893,1282
24-07-2021,582,1290
25-07-2021,537,1390
26-07-2021,740,1451
27-07-2021,889,1405
28-07-2021,856,1472
29-07-2021,885,1437
30-07-2021,834,1478
31-07-2021,563,1442
01-08-2021,585,1587
02-08-2021,786,1494
03-08-2021,897,1360
04-08-2021,805,1331
05-08-2021,861,1337
06-08-2021,876,1407
07-08-2021,542,1314
08-08-2021,558,1309
09-08-2021,727,1356
10-08-2021,928,1407
11-08-2021,826,1364
12-08-2021,868,1300
13-08-2021,796,1249
14-08-2021,584,1248
15-08-2021,543,1304
16-08-2021,743,1409
17-08-2021,910,1441
18-08-2021,829,1425
19-08-2021,808,1321
20-08-2021,923,1270
21-08-2021,631,1304
22-08-2021,537,1256
23-08-2021,733,1357
24-08-2021,618,1369
25-08-2021,779,1419
26-08-2021,909,1360
27-08-2021,836,1337
28-08-2021,603,1398
29-08-2021,516,1348
30-08-2021,743,1483
31-08-2021,835,1390
